Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1897,-.10,-.14,-.06,-.35,.18,-.24,-.57,-.46,-.24,.18,.19,-.19,-.27,.36
1898,-.26,-.26,-.27,-.34,-.20,-.27,-1.14,-.21,-.23,-.14,-.28,-.28,-.21,.33
1899,-.17,-.19,-.15,-.24,-.11,-.19,-1.04,-.08,-.15,-.12,-.09,-.16,-.22,.54
1900,-.07,-.07,-.07,-.20,.19,-.30,-.56,-.12,-.16,.14,.24,-.29,-.29,.23
1901,-.15,-.11,-.19,-.17,-.03,-.31,-.41,-.10,-.15,-.03,-.03,-.28,-.33,.22
1902,-.28,-.31,-.23,-.53,-.03,-.35,-1.34,-.51,-.33,.01,-.07,-.29,-.43,-.09
1903,-.37,-.37,-.38,-.47,-.28,-.39,-.23,-.42,-.57,-.21,-.35,-.36,-.40,-.51
1904,-.47,-.47,-.47,-.51,-.46,-.45,-.17,-.59,-.56,-.41,-.50,-.38,-.49,-1.33
1905,-.26,-.28,-.23,-.41,-.07,-.36,-.09,-.22,-.63,-.08,-.06,-.33,-.37,-.34
1906,-.22,-.23,-.22,-.27,-.18,-.24,-.30,-.06,-.40,-.18,-.18,-.21,-.22,-.72
1907,-.39,-.47,-.30,-.60,-.30,-.30,-.61,-.72,-.53,-.29,-.31,-.22,-.36,-1.21
1908,-.43,-.45,-.40,-.48,-.43,-.36,-.26,-.53,-.52,-.41,-.46,-.29,-.48,.66
1909,-.48,-.49,-.48,-.53,-.47,-.45,-.75,-.60,-.44,-.43,-.52,-.38,-.52,-.58
1910,-.44,-.44,-.43,-.41,-.49,-.38,-.56,-.23,-.50,-.48,-.49,-.33,-.45,.15
1911,-.44,-.42,-.46,-.42,-.43,-.48,-.28,-.41,-.48,-.42,-.43,-.44,-.52,.04
1912,-.36,-.46,-.25,-.59,-.19,-.37,-.50,-.77,-.51,-.27,-.10,-.37,-.29,-1.64
1913,-.35,-.42,-.27,-.44,-.28,-.35,-.51,-.32,-.51,-.39,-.16,-.29,-.40,-1.05
1914,-.16,-.19,-.12,-.25,-.07,-.19,-.36,-.15,-.28,-.11,-.03,-.16,-.18,-.37
1915,-.14,-.14,-.14,-.23,-.02,-.22,-.58,-.15,-.19,.00,-.03,-.16,-.23,-1.99
1916,-.36,-.42,-.32,-.37,-.46,-.23,-.44,-.52,-.26,-.49,-.42,-.23,-.17,-1.06
1917,-.46,-.57,-.37,-.50,-.64,-.19,-.81,-.47,-.44,-.69,-.60,-.23,-.09,.05
1918,-.30,-.40,-.21,-.41,-.34,-.14,-1.01,-.26,-.36,-.38,-.29,-.06,-.22,-.29
1919,-.28,-.35,-.21,-.44,-.21,-.23,-.69,-.54,-.31,-.23,-.19,-.15,-.32,.19
1920,-.28,-.31,-.25,-.25,-.27,-.33,-.01,-.19,-.36,-.38,-.14,-.19,-.48,-1.15
1921,-.19,-.11,-.27,.01,-.26,-.31,.01,.18,-.11,-.29,-.22,-.24,-.38,-.85
1922,-.29,-.28,-.31,-.25,-.33,-.28,-.29,-.40,-.15,-.32,-.34,-.25,-.28,-.29
1923,-.27,-.22,-.32,-.15,-.30,-.34,.18,-.14,-.26,-.32,-.29,-.27,-.41,-.56
1924,-.28,-.19,-.36,-.14,-.26,-.44,.46,-.24,-.24,-.27,-.26,-.40,-.45,-.54
1925,-.23,-.14,-.31,-.04,-.25,-.38,-.07,.19,-.19,-.28,-.22,-.25,-.55,-.87
1926,-.11,.02,-.23,.03,.01,-.41,.59,.17,-.22,.00,.01,-.35,-.45,-.65
1927,-.23,-.14,-.31,-.13,-.17,-.39,.02,-.21,-.13,-.15,-.20,-.31,-.45,-1.39
1928,-.21,-.10,-.30,-.07,-.16,-.40,.71,-.16,-.24,-.15,-.17,-.29,-.48,-2.13
1929,-.37,-.34,-.39,-.38,-.29,-.46,.15,-.61,-.39,-.28,-.30,-.43,-.44,-1.09
1930,-.16,-.02,-.30,.04,-.12,-.43,.53,.04,-.12,-.10,-.14,-.33,-.47,-2.61
1931,-.10,.05,-.22,.01,.07,-.43,.57,-.03,-.15,.10,.04,-.42,-.40,-.42
1932,-.16,-.06,-.26,.04,-.17,-.35,.49,.20,-.22,-.19,-.15,-.21,-.53,-1.00
1933,-.29,-.26,-.32,-.24,-.29,-.35,-.16,-.46,-.13,-.29,-.28,-.22,-.49,-1.16
1934,-.13,.00,-.25,.17,-.25,-.27,.88,.31,-.13,-.26,-.24,-.16,-.38,-.58
1935,-.20,-.10,-.30,-.05,-.18,-.38,.35,-.05,-.17,-.16,-.20,-.31,-.42,-1.72
1936,-.15,-.04,-.27,-.03,-.13,-.30,.40,.11,-.27,-.05,-.21,-.27,-.33,-.04
1937,-.03,.12,-.18,.19,-.05,-.23,1.24,.02,-.03,.01,-.11,-.19,-.26,.35
1938,-.01,.16,-.19,.38,-.22,-.10,1.51,.38,.02,-.17,-.28,-.06,-.11,-.88
1939,-.02,.09,-.13,.22,-.12,-.13,.57,.28,.07,-.10,-.14,-.05,-.19,-1.61
1940,.12,.17,.09,.11,.28,-.07,1.01,-.02,-.10,.27,.29,.03,-.20,-.07
1941,.18,.23,.16,.01,.49,-.05,.00,-.10,.07,.55,.44,.03,-.15,-.48
1942,.07,.13,.00,.13,.08,-.01,.74,-.06,.06,.12,.03,.05,-.05,-.91
1943,.09,.18,-.01,.37,-.08,.03,1.41,.27,.10,-.10,-.07,.07,-.01,1.13
1944,.20,.27,.14,.38,.19,.05,1.17,.46,.09,.11,.26,.18,-.10,-.91
1945,.09,.10,.09,.10,.17,-.03,.62,-.03,.03,.10,.24,.03,.00,-1.74
1946,-.08,.03,-.17,.06,-.05,-.24,-.03,-.05,.16,-.02,-.08,-.22,-.24,-.14
1947,-.03,.08,-.14,.15,-.06,-.17,1.07,-.13,.04,-.03,-.10,-.20,-.08,-.18
1948,-.11,-.02,-.20,.12,-.18,-.24,.11,.31,.00,-.22,-.14,-.20,-.19,-1.35
1949,-.11,-.03,-.20,.11,-.19,-.23,.20,.16,.04,-.23,-.15,-.18,-.15,-1.94
1950,-.18,-.15,-.21,-.05,-.29,-.15,.20,-.31,.03,-.30,-.28,-.06,-.16,-.86
1951,-.07,.04,-.18,.08,-.06,-.23,.09,.01,.12,.00,-.12,-.22,-.16,-.69
1952,.01,.06,-.03,.11,.02,-.09,.27,-.09,.18,-.01,.05,-.10,-.02,-.48
1953,.08,.24,-.07,.35,.08,-.18,1.01,.35,.14,.08,.07,-.08,-.24,-1.08
1954,-.13,-.02,-.25,.07,-.21,-.22,.80,-.21,.00,-.14,-.28,-.17,-.20,-.79
1955,-.14,-.09,-.21,.04,-.34,-.06,-.24,-.11,.23,-.30,-.38,-.16,-.08,1.22
1956,-.19,-.23,-.16,-.20,-.33,.00,.01,-.47,-.09,-.29,-.37,-.13,.02,.76
1957,.05,.04,.06,.03,.08,.02,.09,.22,-.11,.05,.10,-.09,-.02,.48
1958,.06,.15,-.02,.08,.21,-.14,-.16,.14,.12,.26,.15,-.08,-.08,-.47
1959,.03,.12,-.06,.16,.08,-.15,.48,.18,.04,.07,.08,-.03,-.26,-.33
1960,-.02,.08,-.12,.09,.02,-.19,.34,-.07,.11,.06,-.02,-.10,-.07,-.70
1961,.06,.08,.03,.19,-.04,.06,-.15,.38,.18,-.07,.00,.14,-.17,.25
1962,.04,.13,-.06,.24,-.05,-.06,.45,.31,.14,-.05,-.05,.09,-.07,-.55
1963,.05,.14,-.03,.14,.12,-.12,-.16,.31,.13,.13,.10,-.10,-.17,-.03
1964,-.20,-.19,-.21,-.23,-.14,-.25,-.67,-.20,-.12,-.14,-.14,-.30,-.07,-.40
1965,-.11,-.14,-.07,-.18,-.03,-.13,-.27,-.24,-.12,-.08,.02,-.23,-.03,-.02
1966,-.06,-.02,-.10,-.14,.08,-.16,-.76,-.19,.09,.16,-.01,-.23,-.14,.06
1967,-.02,.03,-.08,.12,-.14,-.01,.36,.27,-.05,-.11,-.17,-.09,-.02,.29
1968,-.08,-.07,-.09,-.10,-.07,-.08,-.33,-.02,-.08,-.02,-.11,-.14,.00,-.03
1969,.06,-.03,.15,-.29,.34,.03,-.04,-.61,-.17,.35,.32,.00,.13,-.08
1970,.02,-.04,.09,-.11,.07,.10,-.21,-.13,-.06,.07,.07,.11,.03,.25
1971,-.08,-.15,-.02,-.06,-.26,.12,-.08,.02,-.10,-.30,-.22,.03,.16,.40
1972,.01,-.17,.19,-.34,.16,.14,-.37,-.47,-.24,.06,.26,.16,-.02,.40
1973,.16,.09,.22,.11,.18,.18,.07,.27,.02,.08,.29,.22,.07,.32
1974,-.07,-.18,.03,-.14,-.20,.17,-.19,-.07,-.18,-.23,-.17,.22,-.08,.63
1975,-.01,-.05,.02,.12,-.24,.15,.10,.39,-.05,-.30,-.17,.13,.14,.25
1976,-.10,-.21,.00,-.26,-.11,.08,-.08,-.32,-.28,-.13,-.10,.10,.22,-.28
1977,.18,.12,.24,.14,.16,.25,.16,.24,.07,.09,.22,.21,.31,.24
1978,.07,.02,.11,-.03,.08,.16,-.16,.04,-.04,.10,.05,.21,.13,.03
1979,.16,.08,.24,-.03,.26,.23,-.61,.07,.09,.26,.27,.29,.33,-.21
1980,.26,.17,.35,.06,.31,.39,.25,.02,.02,.33,.28,.35,.37,.57
1981,.32,.37,.27,.48,.18,.35,1.09,.78,.09,.22,.14,.28,.39,.57
1982,.14,.05,.22,-.08,.27,.18,-.40,.09,-.08,.25,.29,.18,.32,-.12
1983,.31,.25,.37,.22,.43,.23,.19,.69,-.06,.29,.57,.21,.41,-.03
1984,.15,.04,.27,.02,.18,.25,.37,.08,-.13,.07,.29,.16,.32,.46
1985,.11,.00,.23,-.03,.09,.29,.39,-.26,-.01,.04,.14,.29,.44,.00
1986,.18,.13,.23,.11,.22,.20,.01,.28,.03,.17,.27,.25,.25,-.09
1987,.32,.25,.40,.04,.58,.25,-.36,.13,.12,.55,.62,.32,.25,.00
1988,.38,.37,.40,.40,.37,.38,.57,.57,.24,.32,.42,.38,.20,.78
1989,.27,.27,.27,.41,.13,.33,.32,.69,.26,.06,.19,.36,.30,.28
1990,.45,.53,.37,.63,.37,.38,.58,.88,.49,.38,.36,.37,.37,.40
1991,.40,.41,.39,.47,.36,.39,.76,.66,.26,.32,.40,.31,.29,.90
1992,.22,.14,.30,.10,.28,.26,-.16,.44,-.03,.19,.36,.20,.33,.32
1993,.23,.19,.27,.13,.31,.21,.55,.29,-.11,.28,.34,.26,.39,-.34
1994,.31,.38,.25,.44,.31,.19,.35,.50,.43,.28,.33,.26,.23,-.16
1995,.45,.58,.32,.70,.42,.23,1.31,.98,.32,.41,.44,.28,.15,.20
1996,.33,.27,.39,.23,.32,.44,.78,.17,.11,.32,.32,.32,.29,1.22
1997,.47,.52,.42,.54,.51,.34,.75,.90,.23,.51,.52,.42,.37,.02
1998,.61,.71,.52,.79,.69,.33,.87,.94,.66,.59,.79,.39,.32,.20
1999,.38,.48,.28,.71,.20,.31,.41,.80,.74,.16,.25,.46,.19,.02
2000,.39,.50,.28,.70,.24,.29,.97,.80,.56,.20,.27,.41,.10,.30
2001,.53,.64,.43,.81,.41,.43,1.07,.86,.69,.40,.43,.58,.24,.32
2002,.62,.71,.53,.83,.58,.46,1.25,1.00,.58,.54,.62,.49,.32,.70
2003,.62,.75,.49,.84,.63,.38,1.50,.98,.54,.60,.65,.44,.24,.47
2004,.54,.66,.42,.73,.54,.34,.47,.96,.67,.56,.52,.48,.24,.10
2005,.68,.86,.50,1.02,.61,.42,1.99,1.23,.57,.62,.60,.49,.19,.71
2006,.64,.82,.46,.99,.55,.40,1.73,1.06,.71,.56,.53,.51,.20,.45
2007,.66,.85,.46,1.13,.45,.46,2.12,1.32,.69,.44,.46,.50,.08,1.18
2008,.54,.68,.40,.92,.37,.39,1.53,1.08,.62,.33,.40,.53,.09,.56
2009,.65,.72,.58,.78,.67,.50,1.43,.60,.69,.64,.69,.60,.15,.91
2010,.72,.90,.54,1.03,.67,.48,2.22,.87,.75,.71,.63,.63,.21,.50
2011,.60,.74,.45,.99,.36,.54,2.35,.94,.58,.38,.33,.64,.18,.97
2012,.64,.81,.47,1.04,.51,.40,2.20,.93,.74,.47,.55,.56,.20,.28
2013,.68,.80,.56,.95,.57,.56,1.56,1.05,.70,.57,.56,.63,.23,1.01
2014,.74,.92,.57,1.07,.66,.52,2.05,1.12,.73,.68,.63,.72,.18,.57
2015,.90,1.17,.63,1.32,.95,.41,2.01,1.47,1.00,.97,.92,.75,.18,-.33
2016,1.01,1.30,.73,1.55,1.00,.50,3.25,1.43,1.08,.95,1.05,.67,.26,.44
2017,.92,1.17,.67,1.39,.81,.61,2.52,1.37,1.04,.86,.75,.76,.35,.59
2018,.85,1.04,.66,1.25,.66,.69,2.16,1.09,1.06,.72,.61,.80,.38,.96
